,name,lon,lat
3160,Central Park West & W 76 St,-73.97374737,40.77896784
519,Pershing Square North,-73.977706,40.751873
3171,Amsterdam Ave & W 82 St,-73.97667321,40.78524672
504,1 Ave & E 16 St,-73.98165557,40.73221853
229,Great Jones St,-73.99379025,40.72743423
3630,Frederick Douglass Blvd & W 115 St,-73.9559308,40.8038654
3675,3 Ave & E 95 St,-73.94968539476395,40.784596798848916
285,Broadway & E 14 St,-73.99074142,40.73454567
3394,Columbia St & W 9 St,-74.00647134,40.6769993
432,E 7 St & Avenue A,-73.98379855,40.72621788
379,W 31 St & 7 Ave,-73.9916,40.749156
438,St Marks Pl & 1 Ave,-73.98564945,40.72779126
3452,Bayard St & Leonard St,-73.94885390996933,40.71915571696044
3430,Richardson St & N Henry St,-73.94223690032959,40.71907891179564
507,E 25 St & 2 Ave,-73.97973776,40.73912601
3095,Graham Ave & Herbert St,-73.94500379,40.71929301
3132,E 59 St & Madison Ave,-73.97109243,40.76350532
3165,Central Park West & W 72 St,-73.9762057363987,40.77579376683666
403,E 2 St & 2 Ave,-73.99069656,40.72502876
3159,W 67 St & Broadway,-73.98266566,40.77492513
3231,E 67 St & Park Ave,-73.96592080593109,40.76780080148132
435,W 21 St & 6 Ave,-73.99415556,40.74173969
484,W 44 St & 5 Ave,-73.98014437,40.75500254
3302,Columbus Ave & W 103 St,-73.9643412291,40.7969347
3321,Clinton St & Union St,-73.99785267,40.6831164
3163,Central Park West & W 68 St,-73.97782542,40.7734066
394,E 9 St & Avenue C,-73.97768752,40.72521311
3170,W 84 St & Columbus Ave,-73.97283406,40.78499979
3656,E 2 St & Avenue A,-73.98583620786667,40.72307749068673
3304,6 Ave & 9 St,-73.98377641,40.668127
3574,Prospect Pl & Underhill Ave,-73.96579,40.6769694
534,Water - Whitehall Plaza,-74.0127234,40.70255065
3367,5 Ave & E 103 St,-73.95249933,40.7922553
307,Canal St & Rutgers St,-73.98990025,40.71427487
3235,E 41 St & Madison Ave,-73.97992193698882,40.752165280621966
168,W 18 St & 6 Ave,-73.99456405,40.73971301
328,Watts St & Greenwich St,-74.00965965,40.72405549
223,W 13 St & 7 Ave,-73.99994661,40.73781509
3585,Union St & Bedford Ave,-73.9554162,40.6691783
79,Franklin St & W Broadway,-74.00666661,40.71911552
346,Bank St & Hudson St,-74.00618026,40.73652889
3453,Devoe St & Lorimer St,-73.9491033554077,40.71335226222875
3108,Nassau Ave & Russell St,-73.94434,40.72557
